epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,5675.33,1.27063,0.74315,1.03637,0.73242,0.67957,0.74515,0.43646,1.40958,0.90638,1.13723,0.00167132,0.00167132,0.00167132
85,5742.13,1.25423,0.74406,1.03869,0.74499,0.71827,0.7622,0.44739,1.36828,0.87291,1.12017,0.00166736,0.00166736,0.00166736
86,5809.79,1.25428,0.72463,1.02778,0.77137,0.75731,0.78846,0.46585,1.40891,0.82723,1.13049,0.0016634,0.0016634,0.0016634
87,5877.11,1.23651,0.72389,1.02671,0.76884,0.73529,0.78808,0.45954,1.39404,0.81516,1.11407,0.00165944,0.00165944,0.00165944
88,5944.02,1.2487,0.72869,1.02368,0.75173,0.71517,0.77068,0.44772,1.35918,0.85963,1.10177,0.00165548,0.00165548,0.00165548
89,6011.01,1.2131,0.6939,1.01237,0.74902,0.66986,0.75734,0.45412,1.3713,0.87693,1.12259,0.00165152,0.00165152,0.00165152
90,6077.78,1.20115,0.69122,1.01197,0.76089,0.72755,0.79344,0.48012,1.32625,0.8598,1.10073,0.00164756,0.00164756,0.00164756
91,6145.09,1.24793,0.70816,1.01869,0.80208,0.72136,0.80565,0.47825,1.378,0.78647,1.12125,0.0016436,0.0016436,0.0016436
92,6212.08,1.20013,0.684,1.00788,0.80042,0.70433,0.78452,0.45367,1.4394,0.86958,1.14996,0.00163964,0.00163964,0.00163964
93,6279.04,1.24315,0.71371,1.01285,0.7569,0.67957,0.74708,0.42013,1.4473,0.88368,1.15181,0.00163568,0.00163568,0.00163568
94,6346.04,1.22335,0.72455,1.02154,0.78307,0.6935,0.76572,0.45159,1.35299,0.8632,1.10572,0.00163172,0.00163172,0.00163172
95,6412.79,1.22028,0.72525,1.01278,0.72122,0.69683,0.7496,0.43867,1.36531,0.91911,1.1215,0.00162776,0.00162776,0.00162776
96,6479.56,1.2091,0.69144,1.00442,0.73374,0.73684,0.77766,0.44985,1.44452,0.86055,1.15473,0.0016238,0.0016238,0.0016238
97,6546.52,1.23845,0.72027,1.02317,0.77356,0.74563,0.80123,0.46953,1.36695,0.81381,1.11399,0.00161984,0.00161984,0.00161984
98,6613.58,1.23596,0.71064,1.01215,0.74461,0.6935,0.75935,0.41636,1.4779,0.93869,1.14455,0.00161588,0.00161588,0.00161588
99,6680.6,1.21607,0.67622,1.01668,0.75032,0.6935,0.76422,0.44615,1.39301,0.93302,1.12707,0.00161192,0.00161192,0.00161192
100,6747.39,1.25651,0.75921,1.01123,0.7507,0.67492,0.74536,0.41077,1.45086,0.93627,1.14412,0.00160796,0.00160796,0.00160796
101,6814.16,1.23427,0.67844,1.02096,0.7564,0.71619,0.79342,0.46701,1.39562,0.83331,1.12927,0.001604,0.001604,0.001604
102,6880.94,1.23209,0.69879,1.01298,0.75644,0.74458,0.78678,0.46317,1.39116,0.85975,1.11272,0.00160004,0.00160004,0.00160004
103,6947.87,1.22921,0.68884,1.01239,0.82201,0.7291,0.80972,0.46748,1.38966,0.78945,1.13118,0.00159608,0.00159608,0.00159608
104,7014.89,1.21381,0.71366,1.00534,0.72737,0.75165,0.78696,0.46522,1.35665,0.8273,1.10857,0.00159212,0.00159212,0.00159212
105,7081.67,1.20268,0.66562,1.01764,0.77158,0.69969,0.76041,0.43998,1.41373,0.88809,1.13558,0.00158816,0.00158816,0.00158816
